85,용산구,신한은행 숙명여대입구역점앞(서울역방면),신한은행 숙대입구역점 앞,"37.543447, 126.972627"
86,용산구,갈월동 갑을빌딩 앞(왕십리뉴타운1구역모델하우스),마을버스정류장(갑을빌딩) 옆,"37.549125, 126.972023"
87,용산구,갈월동 숙대입구 지하철역 9번출구앞,숙대입구역 9번출구 서부약국 앞,"37.544494, 126.971915"
88,용산구,숙명여대 중앙버스정류장(롯데리아 앞),숙대입구역 7번출구 앞 환풍구 뒤,"37.543659, 126.972160"
89,용산구,남영역 고려빌딩 앞 (우),고려빌딩 앞 횡단보도 옆,"37.541829, 126.972532"
90,용산구,게이트웨이타워 옆 횡단보도 뒤(시티호프 건너편),게이트웨이타워 옆 횡단보도,"37.553519, 126.973989"
91,용산구,남영역 마을버스정류장 (03-535),우성약국 앞,"37.542064, 126.972034"
92,용산구,남영역 앞 횡단보도,남영역 크리스피크림도넛 앞 횡단보도 옆,"37.541777, 126.971775"
93,용산구,한강로2가 225-6(용산M치과의원 건너편 횡단보도),용산역 잔디광장 앞 횡단보도(M치과의원 건너편),"37.527991, 126.966427"
94,용산구,한강로동 베르가모(농협앞) 버스정류장(03-122),버스정류장(한강대교북단) 옆 배전함 옆,"37.524945, 126.963596"
95,용산구,베르가모앞 택시정류장,베르가모 웨딩홀 앞,"37.523552, 126.962212"
96,용산구,용산역앞 횡단보도 건너편,용산역앞 횡단보도 건너편,"37.528813, 126.965958"
97,용산구,신용산지하차도입구 파리바게트 횡단보도앞,파리바게트 앞 버스정류장(신용산역) 옆,"37.530086, 126.967639"
98,용산구,용사의집앞 횡단보도(가로판매점앞),푸르지오써밋 횡단보도 맞은편,"37.527674, 126.964766"
99,용산구,"한남역,용산노인종합복지관(한남동 하이페리온방면) 버스정류장(03-285)",용산노인종합복지관 버스정류장 옆,"37.531195, 127.006662"
100,용산구,순천향 병원 택시정류장,용산대학약국 맞은편,"37.533447, 127.004587"
101,용산구,원효로 2동 주민센터 버스정류장(03-304),원효로 2동 주민센터 버스정류장,"37.534445, 126.951406"
102,용산구,보광동 신동아아파트(기업은행보광동지점방면) 버스정류장(03-277),신동아아파트 입구 옆,"37.525461, 127.001701"
103,용산구,하얏트호텔 정문앞 마을버스정류장(용산03),하얏트호텔 정문앞 마을버스정류장,"37.540638, 126.997071"
104,용산구,한남동 동원베네스트 사잇길 옆 쉼터,동원베네스트 GS25 앞 쉼터,"37.530128, 127.007386"
105,용산구,"한남동(한남시범아파트방면) 버스정류장(03-213)(현대리버티하우스,KEB하나은행앞)",현대리버티하우스 앞 버스정류장(한남동),"37.533804, 127.008728"
106,용산구,보금사에서 스시바얼이태원점앞(녹사평산악회앞),보금사 옆(지하도 입구 앞),"37.538129, 126.987024"
107,용산구,금호타이어한남대리점(시드니씨푸드)앞(경리단입구3호터널방향),GS편의점 앞,"37.538528, 126.987091"
108,용산구,한강진역 1번출구앞 (용산국제학교입구),한강진역 1번출구 뒤,"37.540336, 127.001647"
109,용산구,소월로168번지(고엽제사무실옆),고엽제 전우회 사무실 옆,"37.547810, 126.984306"
110,용산구,한국폴리텍1대학 버스정류장(03-281),한국폴리텍1대학 입구,"37.530238, 126.996780"
111,용산구,도이치모터스(BMW) 매장앞,도이치모터스 앞 육교 아래,"37.541835, 127.003142"
112,용산구,녹사평역 1번출구앞 버스정류장(03-524),녹사평역 1번출구앞 버스정류장,"37.535142, 126.985960"
113,용산구,순천향 병원 진출로 옆 인도,순천향대병원 입구(KFC 맞은편),"37.533411, 127.005050"
114,용산구,순천향 병원 진입로 옆 인도,마을버스정류장(순천향대병원) 건너편,"37.533513, 127.003836"
115,용산구,이촌2동부영주유소 건너편 버스정류장(03-288),포르쉐 센터 건너편,"37.530409, 126.954719"
116,용산구,이촌1동 충신교회앞 버스정류장(03-216),티앤엘어학원 앞,"37.521226, 126.968491"
